"genes"	"modules"
"ARFGEF3"	"M21"
"ARFRP1"	"M5"
"ARG1"	"M20"
"ARG2"	"M16"
"ARGFXP1"	"M24"
"ARGFXP2"	"M1"
"ARGLU1"	"M8"
"ARHGAP1"	"M6"
"ARHGAP10"	"M1"
"ARHGAP11A"	"M9"
"ARHGAP12"	"M1"
"ARHGAP15"	"M1"
"ARHGAP15-AS1"	"M1"
"ARHGAP18"	"M23"
"ARHGAP19"	"M9"
"ARHGAP19-SLIT1"	"M12"
"ARHGAP20"	"M21"
"ARHGAP21"	"M1"
"ARHGAP22"	"M4"
"ARHGAP23"	"M12"
"ARHGAP24"	"M1"
"ARHGAP25"	"M7"
"ARHGAP26"	"M1"
"ARHGAP26-IT1"	"M1"
"ARHGAP27"	"M8"
"ARHGAP27P1-BPTFP1-KPNA2P3"	"M1"
"ARHGAP28"	"M3"
"ARHGAP29"	"M5"
"ARHGAP30"	"M26"
"ARHGAP31"	"M1"
"ARHGAP31-AS1"	"M10"
"ARHGAP33"	"M18"
"ARHGAP39"	"M2"
"ARHGAP42"	"M1"
"ARHGAP42P5"	"M6"
"ARHGAP44"	"M2"
"ARHGAP44-AS1"	"M24"
"ARHGAP45"	"M5"
"ARHGAP5"	"M8"
"ARHGAP8"	"M1"
"ARHGAP9"	"M26"
"ARHGDIA"	"M3"
"ARHGDIB"	"M30"
"ARHGDIG"	"M11"
"ARHGEF1"	"M7"
"ARHGEF10"	"M16"
"ARHGEF10L"	"M2"
"ARHGEF15"	"M7"
"ARHGEF16"	"M1"
"ARHGEF17"	"M13"
"ARHGEF18"	"M5"
"ARHGEF19"	"M3"
"ARHGEF2"	"M11"
"ARHGEF25"	"M1"
"ARHGEF26"	"M1"
"ARHGEF26-AS1"	"M3"
"ARHGEF28"	"M1"
"ARHGEF3"	"M21"
"ARHGEF33"	"M32"
"ARHGEF34P"	"M1"
"ARHGEF35"	"M1"
"ARHGEF35-AS1"	"M14"
"ARHGEF37"	"M1"
"ARHGEF38"	"M3"
"ARHGEF39"	"M9"
"ARHGEF4"	"M25"
"ARHGEF40"	"M7"
"ARHGEF5"	"M1"
"ARHGEF7-AS2"	"M1"
"ARHGEF7-IT1"	"M2"
"ARID1A"	"M10"
"ARID2"	"M1"
"ARID3A"	"M23"
"ARID3B"	"M12"
"ARID3BP1"	"M1"
"ARID3C"	"M9"
"ARID4A"	"M2"
"ARID5A"	"M1"
"ARID5B"	"M1"
"ARIH2OS"	"M3"
"ARL11"	"M2"
"ARL13B"	"M8"
"ARL14EP"	"M2"
"ARL15"	"M7"
"ARL16"	"M3"
"ARL17A"	"M1"
"ARL17B"	"M1"
"ARL2"	"M15"
"ARL2-SNX15"	"M1"
"ARL2BP"	"M1"
"ARL4A"	"M16"
"ARL4AP5"	"M6"
"ARL4C"	"M16"
"ARL4D"	"M4"
"ARL5A"	"M2"
"ARL5AP3"	"M5"
"ARL5B"	"M7"
"ARL5C"	"M2"
"ARL6"	"M12"
"ARL6IP1"	"M12"
"ARL6IP1P3"	"M8"
"ARL6IP4"	"M6"
"ARL6IP5"	"M16"
"ARL6IP6"	"M7"
"ARL8A"	"M6"
"ARL8B"	"M12"
"ARL9"	"M1"
"ARLNC1"	"M1"
"ARMC1"	"M12"
"ARMC12"	"M1"
"ARMC2"	"M1"
"ARMC3"	"M33"
"ARMC5"	"M5"
"ARMC6"	"M14"
"ARMC7"	"M6"
"ARMC9"	"M7"
"ARMH1"	"M8"
"ARMH2"	"M1"
"ARMH4"	"M1"
"ARMT1"	"M7"
"ARNILA"	"M8"
"ARNT2"	"M1"
"ARNTL"	"M1"
"ARNTL2"	"M1"
"ARPC1A"	"M7"
"ARPC1B"	"M2"
"ARPC2"	"M2"
"ARPC3"	"M12"
"ARPC4"	"M3"
"ARPC4-TTLL3"	"M5"
"ARPC5"	"M12"
"ARPC5L"	"M3"
"ARPIN-AP3S2"	"M14"
"ARPP19"	"M12"
"ARPP21"	"M1"
"ARRB1"	"M12"
"ARRB2"	"M10"
"ARRDC1"	"M7"
"ARRDC1-AS1"	"M5"
"ARRDC2"	"M20"
"ARRDC3"	"M8"
"ARRDC3-AS1"	"M1"
"ARRDC4"	"M7"
"ARSA"	"M5"
"ARSI"	"M19"
"ARSJ"	"M26"
"ARSK"	"M8"
"ART3"	"M2"
"ART4"	"M20"
"ARTN"	"M1"
"ARVCF"	"M5"
"AS3MT"	"M1"
"ASAH1"	"M12"
"ASAH2"	"M1"
"ASAP1"	"M10"
"ASAP1-IT2"	"M3"
"ASAP2"	"M10"
"ASAP3"	"M24"
"ASB1"	"M5"
"ASB13"	"M3"
"ASB15"	"M32"
"ASB16"	"M2"
"ASB16-AS1"	"M1"
"ASB18"	"M1"
"ASB2"	"M1"
"ASB4"	"M4"
"ASB5"	"M1"
"ASB6"	"M14"
"ASCC2"	"M16"
"ASCC3"	"M12"
"ASCL1"	"M8"
"ASCL2"	"M3"
"ASF1A"	"M7"
"ASF1B"	"M9"
"ASGR1"	"M5"
"ASGR2"	"M20"
"ASH1L-AS1"	"M2"
"ASH1L-IT1"	"M4"
"ASIC1"	"M12"
"ASIC2"	"M1"
"ASIC3"	"M7"
"ASIC4"	"M1"
